,0,1,2,3,4,5,6
0,-7.17080087614,-16.8916683198,-27.75030041,-28.5106150643,-58.0315983757,-37.0386661087,-56.6730612503
1,-6.88272761621,-14.7732723579,-24.1661615357,-26.4904351729,-51.9875278918,-34.0848148746,-52.4437221166
2,-7.215849221,-19.7830226703,-27.2340429015,-28.5168923799,-60.6442866921,-38.6823038966,-56.3924613738
3,-7.16417931375,-20.4565638472,-25.266239868,-27.2285868007,-55.4797162872,-37.7048327848,-53.4851737866
4,-7.10836690264,-15.9698707786,-23.7832246569,-26.3723632073,-51.4596220976,-34.452104881,-53.4383880191
5,-7.17255261992,-16.5595084253,-27.3863131595,-29.226426194,-58.4079794318,-38.791400606,-57.6282007057
6,-7.10181009416,-16.484904078,-24.8842396707,-30.0344640435,-58.1972602876,-38.3158299436,-57.634271127
7,-7.20166373419,-17.4085021442,-25.2066521207,-29.4681625557,-56.8055898132,-43.296160784,-61.8709146331
8,-7.11498009208,-20.049364216,-29.1419762965,-31.0319835875,-61.4994833538,-41.0615086046,-61.4337497827
9,-7.16218866654,-21.4653175509,-26.7880615854,-30.054062624,-58.4822319665,-41.2632411659,-60.6054213454
10,-7.1735608269,-18.4438845472,-24.4139715949,-27.7056346518,-54.1742954317,-37.1466412248,-54.0566335455
11,-7.18879549432,-20.2015215445,-26.5875279302,-29.7902733107,-58.0640870403,-41.6431637712,-58.9075195824
12,-7.21903899829,-17.1456183991,-25.37595701,-29.8255502519,-59.7999393134,-39.0353164228,-57.4306604774
13,-7.11051527696,-16.4840094593,-24.9646793623,-27.7573455665,-54.1380910844,-35.9995343758,-55.7443486229
14,-7.16683741132,-16.3510539853,-25.3685603811,-28.0843574892,-55.0383081796,-36.3557749712,-55.3140040599
15,-7.27272287263,-21.4285007061,-25.2137248132,-30.1954595881,-57.9279941695,-40.9126188741,-59.3561896845
16,-7.187455321,-16.8770912562,-25.881498763,-28.9972278432,-57.4690065389,-38.0663028534,-56.5044092362
17,-6.75609766027,-14.7171816387,-22.5814840783,-24.1117234183,-47.6915719924,-32.0785378288,-47.9516838977
18,-7.21176601977,-16.8654736813,-23.6628835309,-28.0465282771,-54.1555213832,-36.4827016048,-54.3610727273
19,-7.29407875247,-19.6990770079,-25.1584593109,-28.5674359673,-56.3247403329,-38.5908111731,-55.5218495439
20,-7.19216986107,-18.8107731021,-26.2001507674,-29.7046302377,-57.903573434,-39.3222306226,-58.1287578062
21,-7.03627311063,-16.5612545603,-27.1458783148,-27.817729235,-55.9422668649,-37.9951066091,-55.4613750426
22,-7.21387897116,-17.1657496549,-26.293973381,-28.8218769689,-56.9183351349,-37.6422173219,-56.5880095892
23,-7.01943056573,-18.2070448182,-25.7227253721,-27.2195954566,-54.2259569351,-36.3565795407,-53.9006930418
24,-7.23962316331,-18.318777465,-26.2676299266,-29.5273544686,-59.08800392,-38.750543458,-57.4431398962
25,-7.28839378708,-19.3340293893,-28.072901418,-28.6224722825,-56.9773768025,-39.2405973392,-59.0928015985
26,-6.99925974621,-16.1456640659,-24.2023236835,-27.3300957626,-53.136162712,-35.8149268971,-54.3807539081
27,-7.15726665991,-22.9749731289,-28.1842880679,-30.9838739037,-60.5740065437,-44.762347094,-62.7781158896
28,-6.85799111425,-14.2737065384,-26.6184176636,-29.133561462,-57.4077648941,-36.316969468,-57.3093220288
29,-7.18124000198,-20.1122604824,-25.9538561647,-27.3066365808,-53.9860993279,-37.4459155677,-55.1204801616
30,-7.28463497742,-16.7144626278,-26.6360923037,-31.0804967314,-61.4374257385,-40.3164256753,-59.9643974891
31,-7.1754963877,-17.9262811437,-24.9804340906,-26.8025371326,-52.7785106131,-35.9561581091,-53.6246720394
32,-6.90195914601,-18.7875243335,-25.135556688,-25.172576453,-52.1910180644,-35.0689674068,-50.3388010726
33,-7.19060956954,-16.9258868578,-25.981903688,-29.1461686675,-57.7738887136,-38.2115408949,-56.7736391031
34,-7.09677580504,-16.5585226588,-25.1842489932,-28.2952646743,-55.0678637752,-36.6600567143,-56.4127986514
35,-7.23842980466,-20.0797451678,-26.631906886,-27.9474456816,-56.0951326177,-38.4193747963,-55.3362133167
36,-7.12545823007,-16.2118538916,-27.51586522,-30.2740294156,-59.1689979749,-39.1792694821,-64.2021912074
37,-7.27125829258,-17.0114454963,-28.8142264495,-28.9745553824,-60.3787652934,-37.8736830536,-57.8722607185
38,-7.15301739304,-17.8902966888,-25.8187465521,-28.5686834208,-56.6365054181,-38.1272298743,-55.8580298595
39,-7.20206847599,-17.226419886,-24.7720959793,-27.1714550675,-55.7471408882,-36.3275778103,-53.1459749034
40,-7.26587661434,-20.9620159986,-27.6486453443,-30.3419541934,-59.349873221,-40.8239367691,-61.18324231
41,-7.14065028961,-15.9000683778,-26.5759031264,-29.2017939169,-57.5988235401,-37.1921662709,-57.3152797033
42,-7.15430964548,-15.5093190027,-28.6718689638,-31.9233643542,-64.1154103607,-39.6969992447,-62.2324216103
43,-7.20126963469,-16.7246227247,-26.6241324294,-30.3842637302,-59.5289541779,-38.7655766029,-59.051163224
