,1,2,3,4,5,6,7,label,dir
26,-6.99925974621,-16.1456640659,-24.2023236835,-27.3300957626,-53.136162712,-35.8149268971,-54.3807539081,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos177.png
27,-7.15726665991,-22.9749731289,-28.1842880679,-30.9838739037,-60.5740065437,-44.762347094,-62.7781158896,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos197.png
28,-6.85799111425,-14.2737065384,-26.6184176636,-29.133561462,-57.4077648941,-36.316969468,-57.3093220288,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos043.png
29,-7.18124000198,-20.1122604824,-25.9538561647,-27.3066365808,-53.9860993279,-37.4459155677,-55.1204801616,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos168.png
30,-7.28463497742,-16.7144626278,-26.6360923037,-31.0804967314,-61.4374257385,-40.3164256753,-59.9643974891,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos028.png
31,-7.1754963877,-17.9262811437,-24.9804340906,-26.8025371326,-52.7785106131,-35.9561581091,-53.6246720394,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos031.png
32,-6.90195914601,-18.7875243335,-25.135556688,-25.172576453,-52.1910180644,-35.0689674068,-50.3388010726,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos001.png
33,-7.19060956954,-16.9258868578,-25.981903688,-29.1461686675,-57.7738887136,-38.2115408949,-56.7736391031,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos071.png
34,-7.09677580504,-16.5585226588,-25.1842489932,-28.2952646743,-55.0678637752,-36.6600567143,-56.4127986514,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos149.png
35,-7.23842980466,-20.0797451678,-26.631906886,-27.9474456816,-56.0951326177,-38.4193747963,-55.3362133167,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos055.png
36,-7.12545823007,-16.2118538916,-27.51586522,-30.2740294156,-59.1689979749,-39.1792694821,-64.2021912074,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos064.png
37,-7.27125829258,-17.0114454963,-28.8142264495,-28.9745553824,-60.3787652934,-37.8736830536,-57.8722607185,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos082.png
38,-7.15301739304,-17.8902966888,-25.8187465521,-28.5686834208,-56.6365054181,-38.1272298743,-55.8580298595,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos013.png
39,-7.20206847599,-17.226419886,-24.7720959793,-27.1714550675,-55.7471408882,-36.3275778103,-53.1459749034,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos141.png
40,-7.26587661434,-20.9620159986,-27.6486453443,-30.3419541934,-59.349873221,-40.8239367691,-61.18324231,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos155.png
41,-7.14065028961,-15.9000683778,-26.5759031264,-29.2017939169,-57.5988235401,-37.1921662709,-57.3152797033,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos060.png
42,-7.15430964548,-15.5093190027,-28.6718689638,-31.9233643542,-64.1154103607,-39.6969992447,-62.2324216103,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos171.png
43,-7.20126963469,-16.7246227247,-26.6241324294,-30.3842637302,-59.5289541779,-38.7655766029,-59.051163224,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos063.png
44,-7.03660154691,-15.5250649685,-24.1587263254,-26.1464157225,-51.3253709736,-33.9385582629,-52.7830417114,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos020.png
45,-7.25531896485,-16.4892081165,-25.6296924748,-28.5888715941,-55.7735329628,-37.0645939089,-56.681407353,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos154.png
46,-7.1777402832,-16.327179629,-26.6927361737,-29.0410513246,-57.1586756735,-37.6101909776,-57.3731970103,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos080.png
47,-7.03909338305,-18.3842171063,-25.5451862425,-27.3685075209,-55.7002428734,-36.6381146198,-53.8372564399,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos167.png
48,-7.22513079402,-20.3730018729,-26.0184353658,-29.200989604,-57.0086815569,-41.7811207888,-57.3696521423,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos067.png
49,-7.23584583358,-19.8805392513,-25.3670699952,-29.8828366926,-57.8749795212,-40.9469815796,-57.8345642088,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos015.png
50,-7.15862963056,-17.8056230216,-24.6662903048,-27.8702577063,-54.2013934078,-38.0999282715,-55.2064688478,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos026.png
51,-7.19698607428,-21.2019796496,-28.3068167162,-30.2520291197,-60.267471251,-41.2046072394,-59.661782126,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos092.png
52,-7.25441529501,-18.7096698637,-26.6531182737,-30.0539422444,-58.5035686577,-42.0571407926,-59.2793806784,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos069.png
53,-7.18878803441,-16.9120119817,-25.9365477519,-29.146930082,-57.4216279351,-38.0739369768,-56.8199140277,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos172.png
54,-7.26858516349,-22.0075445486,-27.6224973364,-33.218010369,-67.3130140469,-44.3483914008,-63.6385857821,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos012.png
55,-7.24275042131,-22.2753074958,-28.1650470638,-29.8336547224,-60.1311206242,-41.0320891841,-58.8717454263,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos198.png
56,-7.03115132394,-16.376884462,-30.1764444417,-29.532332022,-62.9399056691,-38.544598075,-59.3871303545,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos121.png
57,-6.9600945773,-15.9281394891,-24.5820970883,-26.2755138016,-52.0983949038,-34.3956090973,-52.0075147032,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos065.png
58,-6.99094606907,-15.026561604,-29.3081012651,-29.6020241731,-59.0585598564,-37.6611137055,-61.971488807,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos049.png
59,-7.15077198806,-21.0724558394,-27.3318209007,-30.5092129851,-59.4397481184,-41.1087634988,-61.38983347,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos029.png
60,-6.69210109606,-14.2036761833,-23.4854115255,-24.9053519584,-49.10106181,-32.0247958253,-52.7654055796,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos165.png
61,-7.32704756977,-20.2545177874,-27.0504690859,-32.502215775,-65.0337145378,-43.6221868903,-62.280584728,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos052.png
62,-7.25849405285,-18.1297682983,-26.5736977178,-29.3005497943,-57.2487676481,-39.1447037961,-59.1473077782,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos030.png
63,-7.07546483566,-16.9706740466,-24.6894280483,-28.3436010818,-55.3977870896,-40.1339234736,-55.0687686769,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos129.png
64,-7.2750779212,-20.5616100305,-30.1948168671,-29.382979808,-62.5515128843,-40.1546426483,-59.1724585204,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos136.png
65,-7.0687870917,-16.4237094878,-27.2088288308,-30.928392327,-60.6493586028,-39.1844562647,-60.1552157314,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos105.png
66,-7.27681174561,-20.9038256187,-25.9586839576,-32.8745896621,-62.8193226334,-43.6225274061,-62.5049112437,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos005.png
67,-7.19304630662,-17.6206750596,-26.040033064,-27.889462075,-55.7990015814,-37.9718322126,-54.936137018,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos037.png
68,-7.32450076994,-20.7849057506,-27.4952007334,-31.7780064001,-63.2485998601,-44.5783205255,-61.4275397083,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos086.png
69,-7.35566730312,-21.8614227418,-27.7287564226,-34.3860777146,-65.9375198119,-45.4319413384,-65.6763428043,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos191.png
70,-7.02817076975,-19.7171502622,-25.4453495781,-29.0067354631,-56.3182584704,-39.2517265755,-57.1580694529,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos186.png
71,-7.2323464073,-16.7656019863,-26.1161521971,-29.604053753,-57.5358283082,-38.7624673967,-58.4708214247,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos189.png
72,-6.98639061829,-17.6115544853,-24.7796024587,-25.937376393,-51.341744932,-34.7567114688,-52.5129290475,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos134.png
73,-7.19118250983,-17.4814625947,-26.3730994339,-27.9478315786,-55.1697042352,-36.8534061837,-56.1872273702,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos135.png
74,-7.0280103046,-15.4778907569,-25.2906671975,-26.9646423281,-54.2970023595,-35.0182278807,-53.1393800473,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos111.png
75,-7.19837404065,-19.0297839837,-26.294872565,-28.258492103,-57.2706822584,-37.8662573092,-55.5509638607,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos144.png
76,-7.20206036204,-17.2509934501,-24.7419557605,-27.0984265535,-56.184433694,-36.3379955725,-53.0195080666,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos160.png
77,-7.25051014492,-18.3640595024,-26.2119666749,-29.6576050046,-59.806508445,-40.4163897315,-57.598394512,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos091.png
78,-7.24303453928,-19.2424207941,-26.6679729704,-28.9966573253,-57.0517934805,-39.0775541372,-57.3403720229,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos108.png
79,-7.17479889344,-19.917871645,-30.4840513271,-28.7619531084,-58.5653579053,-40.1881073823,-58.9821560581,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos196.png
80,-7.22823170403,-20.8554586744,-26.5181049404,-30.4328352762,-58.9083083326,-41.1610982875,-64.9288973958,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos007.png
81,-7.31515741139,-20.8989859335,-29.0346333857,-32.6014819778,-65.3750508547,-43.337205541,-63.4296512287,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos107.png
82,-7.17641286079,-18.3932419121,-25.2096062749,-30.978669613,-59.0737729391,-41.9805987049,-62.1982098794,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos109.png
83,-7.2261569352,-17.7925294052,-27.8244630616,-32.3336737302,-62.7730892483,-41.3739599786,-62.7459114553,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos074.png
84,-7.19065281277,-22.008832173,-26.0523931366,-29.9650520736,-58.1563352064,-46.1029676913,-58.5660438205,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos176.png
85,-7.12501648823,-15.6570218425,-24.7665452858,-25.4605100916,-50.7465617351,-33.2890217176,-51.1898578394,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos023.png
86,-7.2423068084,-17.9687479631,-27.5152010137,-30.3813693178,-59.7576596107,-40.0880770846,-59.6062199568,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos158.png
87,-7.29472808523,-18.3744635866,-26.545637257,-29.443446933,-57.4421321253,-38.6404670402,-59.8366413737,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos185.png
88,-7.11182495933,-17.6550411602,-25.2277458662,-27.9397071465,-56.0730510877,-36.8399233097,-54.5464994377,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos145.png
89,-7.24595171776,-21.9471575973,-28.9901194,-29.8049221113,-63.2554829924,-40.934000687,-59.2025937393,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos194.png
90,-7.19039101904,-16.819816023,-26.0676435498,-28.7779736351,-56.2085225768,-37.1982216161,-58.2887280549,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos133.png
91,-7.16627987725,-21.456186671,-26.6259439898,-29.7558088418,-58.006779463,-41.3061540905,-59.0357787927,0,/home/marsch/Projects/FlowerDetect-Core/Build/Binary/Hoa Canh Buom/0cos157.png
